"g","Delta"
"0.001","2.000011999952000336"
"0.01","2.0011995203356706956"
"0.012","2.0017270056738753832"
"0.014","2.0023501585570695544"
"0.016","2.0030688598950260903"
"0.018","2.0038829725439101898"
"0.02","2.0047923414199844797"
"0.025","2.0074813315317506568"
"0.03","2.0107613628028896934"
"0.035","2.0146285803352634161"
"0.04","2.0190784750360440504"
"0.045","2.0241059058760891009"
"0.05","2.0297051247748128385"
"0.06","2.0425930644156457543"
"0.07","2.0576852495496090013"
"0.08","2.0749168430643343328"
"0.09","2.0942162835987094804"
"0.1","2.1155063779452210568"
"0.101953125","2.1198900520241330983"
"0.10390625","2.1243459294264799375"
"0.105859375","2.1288733788474803397"
"0.1078125","2.1334717644523390852"
"0.109765625","2.1381404461538242308"
"0.11171875","2.142878779885541462"
"0.113671875","2.1476861178707447798"
"0.115625","2.1525618088865372976"
"0.1234375","2.1727349725751830655"
"0.13125","2.1939489630614213197"
"0.1390625","2.2161609817020112955"
"0.146875","2.239327949924955957"
"0.1546875","2.2634067136920146242"
"0.1625","2.288354226345618332"
"0.1703125","2.3141277105293540645"
"0.178125","2.3406848002590844869"
"0.1859375","2.3679836644965968509"
"0.19375","2.3959831137518106336"
"0.2","2.4188598808023509623"
"0.2078125","2.4480189744540882678"
"0.215625","2.4777674606587052534"
"0.2234375","2.5080673091603083113"
"0.23125","2.5388814572428856611"
"0.246875","2.6019094662451108373"
"0.2625","2.6665756521137246027"
"0.278125","2.7326215073292719662"
"0.29375","2.7998063184223897576"
"0.3","2.8269486622848423047"
"0.315625","2.8953579673130421215"
"0.33125","2.9644021809625970244"
"0.346875","3.0339018448750604453"
"0.3625","3.1036950959674999761"
"0.36640625","3.1211719529715251126"
"0.3703125","3.1386559354479953964"
"0.37421875","3.1561450099530246583"
"0.378125","3.1736372063138576756"
"0.38203125","3.19113061688624068"
"0.38984375","3.2261137580543633955"
"0.39765625","3.2610803926868829103"
"0.4","3.2715651825958980082"
"0.4078125","3.3064909228778509174"
"0.415625","3.3413714119498338999"
"0.43125","3.4109533814486573544"
"0.446875","3.4802328457361194642"
"0.4625","3.5491440148574105981"
"0.478125","3.6176324278156450827"
"0.5","3.7127234247877390307"
"0.53125","3.8468053526452478237"
"0.5625","3.9786676250660351731"
"0.59375","4.1082290441650669192"
"0.6","4.1338628144886918195"
"0.63125","4.2606442098350819132"
"0.6625","4.3851417524929352167"
"0.69375","4.507412849590043634"
"0.7","4.5316060778524401963"
"0.73125","4.6513015072137475892"
"0.7625","4.7689389769043677121"
"0.79375","4.884601434735951751"
"0.8","4.9075042060245675157"
"0.83125","5.0209052125355527004"
"0.8625","5.1325093779009714401"
"0.89375","5.2423929119018549053"
"0.9","5.2641695874391127748"
"0.93125","5.3720836628991119125"
"0.9625","5.4784313629967256305"
"0.99375","5.5832766036746455702"
"1.","5.6040707170473884848"
